Tweet No,Tweet Text,Match,Polarity
29,you are far more likely to be severely harmed by driving to get vaccinated or by covid itself than you are by a 6 in 7 million chance of getting a blood clot from the jampj vaccine the most dangerous thing we can do right now is to accept only perfect safety,"right,perfect,harmed,dangerous",neutral
30,the european medicines agency ema is investigating the sputnik v vaccine as leaked reports of unreported deaths surfaced weeklyoutlook,No Match,neutral
31,cancelboardexams2021cbse examination controller  we will take exams under covid19 guidelines and protocolsstudents reaction,No Match,neutral
32,todays covid briefing is scheduled to begin in 2 minutes usually they wait for numbers to be released so well see which happens first im liveblogging both here,well,positive
33,drug companies like johnson and johnson are in the business of carbonbased life financialization please look deeper into their ties to human capital bond markets injections are about tagging humans for future supply chain management corporatecriminals,like,positive
34,the cdc and fda are recommending a pause in the use of the johnson amp johnson vaccine out of an abundance of caution while an investigation is conducted into six reported cases of a rare and severe type of blood clot,"abundance,severe",neutral
35,if its like az then the risks are higher for younger people  and in fact higher than the risk of dying from covid for them,"like,risks,risk,dying",negative
36,nuest the 2nd album romanticize prelistening 2 nuestjr nuest romanticize insideoutnuestinsideout202104196pmkst,romanticize,positive
37,covid19 is just a statistic until it reaches your home,No Match,neutral
38,cancelboardexams2021   dont let the exam center to become the covid hotspot,No Match,neutral
39,its wild that everyone is freaking out about the az vaccine causing blood clots 1 in 250000 chance and no one bats an eye at birth control having a one in a thousand risk of blood clots,"wild,freaking,risk",negative
40,vaccine passports will fix that make it a crime to cross state lines if not vaccinated,crime,negative
41,we have similar issues with astrazeneca in europe which is like the jampj vaccine an vector based vaccine if the problem is similar it effects pretty much only women under 50 it is an issue but i agree that the risks through the vaccine are smaller then through covid,"like,pretty,issues,problem,issue,risks",negative
42,whats desperately depressing about access to ministers scandal is that covid bereaved families group were turned down 7 times when asking to meet matt hancock amp more times when asking to meet boris johnsonbut if you want public money then theyre available for a chat anytime,"available,desperately,depressing,scandal",negative
43,common sense tells u that this is not a normal virus n china hasnt come clean1 moment its controlled it again spiralslockdown or no lockdown2sudden negative news of vaccine3virus doesnt travel from wuhan to beijing but spreads in brazil 90k covid cases in china,"virus,negative",negative
44,on wed april 28 join us to learn about how to make your workplace the safest it can be as more people return to work by learning about solutions to mitigate airborne pathogens like covid19 register for this free webinar online now  hq,"work,like,free",positive
45,6 cases of venous sinus thrombosis out of the 68million jampj doses givenall were females lt50years within 2 weeks of the vaccinevaccine currently on hold pending reviewjoint cdc and fda statement on johnson amp johnson covid19 vaccine,No Match,neutral
46,no pfizer and moderna are not much better all 3 vaccines are effective with jampjs actually being more effective against severe covid19 disease comparing these vaccines is like comparing apples and oranges,"better,effective,like,severe",positive
47,remember when yesjulz was patient zero for covid in florida and lied to airport doctors about being sick lmao,"patient,lied,sick",negative
48,sir one of my friend tested covid positive today she is a physiotherapist in mallya hospital and she already took her 2nd dose of vaccine also,positive,positive
49,cook but beware of any sweets during covid from these community  you may be in trouble  spit is their main ingredient,"beware,trouble",negative
50,help revivelive and support the uks live music industry by answering a short survey about your live entertainment habits before covid19 and your plans to return when things reopen it only takes a few minutes to complete head this way gtgt,support,positive
51,im sorry but if shes vaccine hesitant and working in health care kinda seems like she shouldnt be working in health care,"like,sorry,hesitant",negative
52,really wish i didnt because its made me feel like i have the worst flu,"like,worst",neutral
53,how does the jampj vaccine differ from the pfizer and moderna mrna models how does it compare to the astrazeneca vaccine,No Match,neutral
54,why isnt this a top story record exposure notices to families yesterday  whiteside,top,positive
55,i know ima get the vaccine just not right now tho ima watch yall first,right,positive
56,6 cases out of 7 million people what a disaster this is going to get people killed and its going to create more vaccine hesitancy these people dont understand costbenefit analysis they keep making mistakes by orders of magnitude,"disaster,killed,mistakes",negative
57,another day another example of the risks routine in womens medicine that seem unacceptable for the general public compare our general level of worry about clotting side effects in oral contraceptives with those in the vaccine studies,"risks,unacceptable,worry",negative
58,no one is truly safe from covid19 until everyone is safe,safe,positive
59,i heard herd immunity cummings was caught out by good journalism and tried to cover his tracksthe first day back in london he altered his blog to lie about his knowledge johnson and cummings are both responsible for the initial disastrous covid response in march last year,"good,lie,disastrous",negative
60,for communities of color the effects of the pandemic will last for years to come  spoke w leaders of    amp  on the path forward for equity amp justice watch the recording  read the takeaways here,No Match,neutral
61,and holidaymakers fake covid certificate users  party goers and and so on,fake,negative
62,the bullard city council meetings which had been closed to the public due to covid19 restrictions have reopened to the public with limited capacity,limited,negative
63,keep items cold or dry w a falken waterproof bag rt amp follow falkentire to enter to win this giveaway contest prize or other swag rules  day2,"win,prize,cold",positive
64,i remember a joke in the sense of brief covid questionnaire after the lockdown you expect suffering a obesity b alcoholism c mental disorders d all of the above mentioned,"joke,suffering",negative
65,i wrote about how were entering the full zombie phase of hygiene theater evidence for surface transmission of covid19 is truly pathetic but unlike the actual coronavirus performative cleaning rituals are very much alive on surfaces across america,"zombie,pathetic",negative
66,six new cases of covid19,No Match,neutral
67,brian stelter declares the press is saving lives withvaccine selfies,No Match,neutral
68,6 cases of blood cots out of 6 million vaccinations and we  pause a lifesaving vaccinebut 38000 gun deaths a year and republicans want to make it easier to get a gun,easier,positive
69,admittedly selfish  but  feeling pretty good about going with the twoshot moderna vaccine over the oneshot jampj right about now with the second scheduled this thursday,"pretty,good,right,selfish",positive
70,each april we celebrate nationalminorityhealthmonth encouraging minorities to seek health equity and to live healthier lives this year  minorityhealth is helping communities get vaccineready learn more minorityhealth healthandwellness vaccine,"celebrate,encouraging,helping",positive
71,they are saying there are problems with the vaccinethey,problems,negative
72,cm shri  with dycm shri patel held a comprehensive review meeting with the officials of patan district administration and shared that there is sufficient stock of remdesivir injections oxygen and adequate number of beds available for covid19 patients,"comprehensive,sufficient,adequate,available",positive
73,it is wildly irresponsible to call for pauses on the johnsonampjohnson vaccine because 6 people in 7 million got blood clotsthis image from the astrazeneca debacle applies except the claimed incidence here for jampj is even lower,"wildly,irresponsible,debacle",negative
74,there are thousands of deaths due to the vaccine  stop lying,lying,negative
75,the editing ayo feral boys you should go to haunted places when covid gets better,better,positive
76,opportunity for enps in nottingham call sadie 0333 800 0395 or visit nursepractitioner locumwork agencynurses nottingham healthcarejobs,No Match,neutral
77,i have a jampj appointment in an hour and if i dont get a vaccine because 6 people out of 6 million got blood clots after i was allowed  nay encouraged  to take hormonal birth control for decades you will be hearing about a tiny little one woman riot,No Match,neutral
78,former chief scientist accuses boris johnson of privatising nhs by stealth,accuses,negative
79,analysis from its realtime antiphishing protection system demonstrated that cybercriminals have increasingly sought to leverage the topic of international travel amid the rapid rollout of covid19 vaccines this year gtgt,"protection,leverage,rapid",positive
80,jeffrey dirr 57 of lawrenceburg indiana died of covid on march 13 2021 my dad was someoneyou could talk to who was always there to lend an ear to listen or give you advice he loved his family and his life more than anything and will be deeply missed,"loved,died,missed",negative
81,analysis the riskreward calculus of the johnson amp johnson vaccine visualized,No Match,neutral
82,breaking ap  us recommends pause for singledose johnson amp johnson covid19 vaccine to investigate clotting reports,breaking,negative
83,reopening bets fall as jampj vaccine paused,fall,negative
84,after this covid19 thing is under control there should be a serious look at how the canadian media handled the coverage and there should be some accountability for putting fear over facts it wont happen which is why im saying something the coverage has been sick,"fear,sick",negative
85,johnson amp johnson vaccine should be paused in us after extremely rare blood clots fda and cdc say  investors king  investor king,No Match,neutral
86,its wild that everyone is freaking out about the az vaccine causing blood clots 1 in 250000 chance and no one bats an eye at birth control having a one in a thousand risk of blood clots,"wild,freaking,risk",negative
87,who are these people like do you actually care about these people or you just want to complain about covid vaccination,"like,complain",neutral
88,i never trusted the johnson vaccine to begin with but the people i know who got it had no side effects,trusted,positive
89,happening right now 108 ambulances with covid patients waiting for 46 hours outside ahmedabad civil hospital,right,positive
90,out of an abundance of caution the fda amp cdc have recommended a pause in the use of the johnson amp johnson vaccine we have more than enough pfizer and moderna supply to continue the current pace of vaccinations of 3 million shots per day full statement,"abundance,recommended,enough",positive
91,taking necessary covid precautions 16 goi ministries led by  under the leadership of pm  ji carried out poshan pakhwada to spread awareness on importance of nutrition with focus on setting up poshan vatikas for nutritious organic produce in anganwadis,led,positive
92,c   cancel b   boards s   sabhi e   examsdont let the exam centres become covid hotspotsstudents are precious cancelboardexams2021 cancelboardexam2021,precious,positive
93,if you  are a philadelphia renter lost income due to covid19 are having trouble paying your rentyou may be eligible for the phlrentassists phase 4 and utilities are included in this round go to  to apply,"lost,trouble",negative
94,my husband got his vaccine fairly early because of the covid causing blood clots and embolisms and his existing disorder he had one in his intestines about 3 months ago amp just about died5 days in intensive care with lifeflight on standby,"fairly,disorder",neutral
95,simply getting covid19 vaccines is like to train dogs your immune response to defense thieves virus in the yarddue to lack of knowledge of laboriginal sarscov2 amp short of experimental data the dogs are not welltrained but messed up sometimes,"like,virus,lack,messed",negative
96,news organizations really need to emphasize that the jampj vaccine pause is due to a reaction that is literally less than one in a million if theres room in a tweet include it,No Match,neutral
97,for perspective here are some numbers1 in 1000000 jampj vaccine1 in 3000 oral contraceptives1 in 5 hospitalized covid19 patientsas someone who got the jampj vaccine 8 days ago and who took oral contraceptives for 20 years ill take these odds,No Match,neutral
98,madam did you listen there is a state named maharashtra in india that state is making centuries in vasuli and covid,No Match,neutral
99,as president amp as citizeni appeal to all caboverdeans to get vaccinated w confidence w hope because this is the only way that we can overcome this pandemic president of caboverde jorge fonseca after receiving 1st dose of astrazeneca vaccine    sdg covax,"appeal,confidence",positive
100,210412   exo baekhyun hot in the midst of getting hit by cold rain for the happiness of exol kyoongtube subscribers i worked hard preparing just to make exols happy baekhyun hundredhyun,"hot,happiness,worked,happy,cold,hard",positive
101,the only thing funny about the pub is that people can buy their beers from local supermarkets so why did people line up in the cold from midnight lool,"funny,cold",negative
102,jampj covid vaccine preferred vax in black communities paused over blood clots issues is now trending on,issues,negative
103,us health agencies are calling for a halt in the use of johnson amp johnsons covid19 vaccine after 6 people developed a rare bloodclotting disorder the agencies in a statement on april 13 said the recommendation is out of an abundance of caution,"recommendation,abundance,disorder",positive
104,for perspective here are some numbers1 in 1000000 jampj vaccine1 in 3000 oral contraceptives1 in 5 hospitalized covid19 patientsas someone who got the jampj vaccine 8 days ago and who took oral contraceptives for 20 years ill take these odds,No Match,neutral
105,sorry but i dont believe for a second that any remainers have changed their minds over brexit simply because of the vaccine roll out no matter what any government mouthpiece reports prove me wrong if you can,"sorry,wrong",negative
106,after millions of americans received their stimulus checks as part of the us governments third round of covid19 economic impact payments it might seem crazy to give the money back but some in certain groups may want to localsyr,crazy,negative
107,thagomizer also i keep wondering if its not surprising that folks immune reaction to a vaccine to limit a virus associated with blood clots may also be associated with blood clots but i am not a virologist not immunologist so alas,"limit,virus",negative
108,almost half 46 of 433 adults with learning disabilities who usually have an annual health check have not received one since the first lockdown in march 2020 a study has found click below to read more,No Match,neutral
109,early studies show that the pfizer vaccine is effective for children ages 12 to 16 liveempowered,effective,positive
110,today our public health team will follow cdc guidelines and pause johnson amp johnson distribution if youre scheduled to receive the jampj vaccine today please do not cancel your appointment we will offer you pfizer at nrg and moderna at our mobile sites instead,No Match,neutral
111,the ceo sucks at his job but he teared up when yeojin showed her diploma to him and brags about yeojins good grades  made the snow ducks behind that one pic of hyunjin he acts more like a dad than a ceo we hate him but the girls probably dont,"good,like,sucks,hate",neutral
112,covid the us plans to pause johnson amp johnson vaccine rollout citing blood clots,No Match,neutral
113,210413 936pm kstwhat are you doing did you spend today welli found it rather cold today be careful of coldright did you watch mysterious kitchentell me the summaryso i can make sure if you watched it or not,"cold,mysterious",negative
114,songwriters of north america sona will begin accepting applications for a new round of pandemic emergency grants on april 28,emergency,negative
115,a weak premier played chicken with a ruthless covid19 virus so doug ford lurches againopinion by arthur,"premier,weak,ruthless,virus",negative
116,i feel pretty confident that risk of blood clots from the jampj vaccine is lower than the risk of blood clots from the stress of being trapped in my home for a year were probably in choked to death eating a sandwich territory,"pretty,confident,risk,stress,trapped,death",negative
117,covid related,No Match,neutral
118,breaking ontario is reporting 3670 new cases of covid19 today and 15 new deaths the province tested 42167 people yesterday with a recordhigh positivity rate of 103 per cent,breaking,negative
119,im no public health expert but from what ive seen the clotting issue needs study but since it only affected women the right move wouldve been for the fda to declare jj the dudes only vaccine and then print tshirts that say it takes a real man to handle this johnson,"right,issue",neutral
120,00375 this is a  of people 3000000 who have died of covid globally 3000000 out of 7800000000 and if were to believe the elite they have decided to save 00375 at the expense of 998 how by destroying the world,"elite,died",neutral
121,understanding data matters the numbers dont support pausing johnsonandjohnson this move could be disastrous from a trust amp communication perspective around covid19 vaccines 2,"support,trust,disastrous",positive
122,the same thing happened in europe with the astra zeneca vaccine and there doesnt seem to be much resistance to taking the vaccine there now,resistance,negative
123,happy thai new year na ka this year i would like to encourage every thai person to overcome covid together lets wear masks and wash hands often lets stay healthy bnk48 letbnk48takecareofyou bnk48 musicbnk48,"happy,like,encourage,healthy",positive
124,if youre a vaccine person youre gonna dismiss the blood clots and if youre an antivaccine person youre gonna use them as an examplei remain a you do you and ill do me person make your own choices,No Match,neutral
125,short film the need to cancel board exam due to the covid situation it was difficult for us to step out and shoot with proper resources on top of that were not professional actors so dont mind the imperfection what matters is the message cancelboardexams2021 sonusood,"proper,top,difficult,imperfection",neutral
126,india big vaccine exporter now seeks imports as covid cases soar  by  and,No Match,neutral
127,maybe it was an emergency,emergency,negative
128,johnson making it clear that his govt is not responsible for future covid hospitalisations amp deaths the way hes worded this its inevitable the focus now is on empire building amp keeping tory donors happy covid is just an annoyance which only affects the poor anyway,"clear,happy,inevitable,annoyance,poor",negative
129,prof dr maw oo head of emergency department ygh was arbitrarily abducted at the hospital with the ground of participating in cdm though he was the one on standby to treat gunshots amp trauma patients when there was tragic situations going on even not able to go home or hide,"emergency,trauma,tragic",negative
130,over 167 crore covid19vaccine doses are still available with states and uts the centre said on tuesday underlining that the problem is not of vaccine shortage but of better planning,"available,better,problem,shortage",neutral
131,jampj vaccine linked to 6 cases of blood clots out of 68 million shots 000088 or something like thatyou know what else is linked to blood clots covid19studies have shown that severe clotting can occur in between 10 to 40 of patients,"like,severe",neutral
132,out of an abundance of caution and following the guidance of the cdc and fda the new jersey department of health this morning paused the administration of the johnson amp johnson janssen vaccine across all vaccination sites in the state,"abundance,guidance",positive
133,a poll out today  in the fanatically proremain bloomberg  shows that 62 per cent of people believe that leaving the eu helped the uk roll out vaccines more quickly than it could have done as a member matthew lynn,"helped,fanatically",neutral
134,in aprils issue we chat with gordon gildersleeve on his covid series and watch him set a few of his pieces on fire full story photo gallery and video below,issue,negative
135,happy vishu despite my dislike to your vengefull  bais  self agradisment parsona of  atriculated venom that u  spill on twitter  4 points 1 sputnik v approved fr vaccine fr  2 z caddila in 3 covaxin gt 12m m4 j amp j wdrawn usa europe due clotting,"happy,dislike,venom",negative
136,usually these clubs operative on negative test entry or by vaccine passport i assume something similar was done here,negative,negative
137,since this tweet is triggering delhi maharashtra and kerala let me add that uttar pradesh is constructing a film city a multimodal logistics hub 1 new medical university and 21 new medical colleges started prior to covid,No Match,neutral
138,for perspective here are some numbers1 in 1000000 jampj vaccine1 in 3000 oral contraceptives1 in 5 hospitalized covid19 patientsas someone who got the jampj vaccine 8 days ago and who took oral contraceptives for 20 years ill take these odds,No Match,neutral
139,understandably ive already received a few worried emails and text messages about the jampj pause we have to be very careful about how this pause is being discussed especially for those whove already received the jampj vaccine and those were considering being vaccinated,worried,negative
140,i have a jampj appointment in an hour and if i dont get a vaccine because 6 people out of 6 million got blood clots after i was allowed  nay encouraged  to take hormonal birth control for decades you will be hearing about a tiny little one woman riot,No Match,neutral
141,immigration refugee status popoola v canada public safety and emergency preparedness  found this story of this  refugee request in canada dismissed because he was a member of sars and may have committed crimes against humanity,emergency,negative
142,nursing manager  emergency department  houston  tx  get business jobs,emergency,negative
143,inhalers with budesonide are modestly priced making them a sensible prescription for people nursing covid19 at home,sensible,positive
144,no thanksour liberty is not a carrot that can be dangled in front of our faces to strongarm us into complying with government mandates,liberty,positive
145,cancelboardexams2021   dont let the exam center to become the covid hotspot,No Match,neutral
146,dad left us today earlier morning warrier the whole life but lost to covid please keep him in your prayers stay safe and blessed,"safe,lost",neutral
147,i know the vaccine is miraculous but please keep ya fuckin mask on around me okay,miraculous,positive
148,kyle rittenhouse a white terrorist who shot several people killing 2 at a blm protest is alive causally walked around police carrying an ar15 afterwards  daunte wright a young black father shot in cold blood by police over the placement of an air freshener in his car,"killing,protest,cold",negative
149,simply getting covid19 vaccines is like to train dogs your immune response to defense thieves virus in the yarddue to lack of knowledge of laboriginal sarscov2 amp short of experimental data the dogs are not welltrained but messed up sometimes,"like,virus,lack,messed",negative
150,they tested negative for covid still they have long covid symptoms,"negative,symptoms",negative
151,andrew cuomo has harmed far more people than the jampj vaccine he remains the governor of new york,harmed,negative
152,knkx interviewed  professor vice chair clinical affairs for news story longterm effects of covid keep uw clinic busy read the article covid coronavirus,vice,negative
153,i listened to an nyt podcast today that posited desantis was such an abject failure managing covid that the guest said he needed to be sequestered in a mandatory threeweeklong public health policy educational program again for emphasis this was published today,failure,negative
154,a apple daily reporter went to a sinovac vaccine centre to report about the latest death she got her wrist twisted by this man the staff didnt help despite witnessing what happened she decided to report to police but they said its cultural difference so thats that,"death,twisted",negative
155,last weeks remember the empty chair a covid19 memorial event memorialized people from around the world who have died due to covid19 and honored the loved ones of vanderbilt community members lost to the pandemic,"honored,loved,died,lost",neutral
156,manitoba reports covid19 exposures on several flights,No Match,neutral
157,as reallife social interactions restart following vaccine rollouts in the us research by yougov finds that young americans are feeling nervous about socialising again,nervous,negative
158,novavax inc has pushed back the timeline for hitting its production target of 150 million covid19 vaccine doses per month until the third quarter due to supply shortages including bags used to grow cells a company spokeswoman told reuters,No Match,neutral
159,i am extremely skeptical of the ability of public messaging to disaggregate the jampj vaccine is under review as a precaution from the jampj vaccine is not safe and the others may not be either in the minds of normal people an incredibly crucial highstakes test for the press,"safe,incredibly,skeptical",positive
160,trans black woman who lost my job due to covid so its been really hard to keep up with bills amp groceries so your help right now would mean alot in helping to provide for me amp my little sister as im her sold provider after my mom died  cashapp junelle3,"right,helping,lost,hard,died",negative
161,now find your way to emergency access youll be as right as rain,"right,emergency",neutral
162,new johnson amp johnson says it is delaying the rollout of its coronavirus vaccine in europe amid a us probe into rare blood clots per ap 12,delaying,negative
163,watch union health secretary speaks on reports of covid19 vaccine shortage he says as per 11 am data today unutilised doses available with statesuts is over 16720000 by april end well provide 20122960 doses issue is about better planning amp not shortage,"available,well,better,shortage,issue",neutral
164,please still take care and follow the covid 19 guidelines,No Match,neutral
165,with the first set of home games in the books at wrigley field and guaranteed rate field we want to know about your experiences this season at cubs and white sox gamesfill out our survey,No Match,neutral
166,good morning wildcats come see our voices of faith gospel choir in wildcat commons 7 for their covid 19 student testing drive fvsu,"good,faith",positive
167,brilliant modelstatekerala shows the way expecting 5hourlong programmes on idiotbox soon on this daring move in kerala cant wait thank you in advance,"brilliant,daring,thank",positive
168,cascade county health officials are winding down their mass covid19 vaccination events the county is shifting to a more targeted vaccination strategy with hopes of getting more doses in the arms of young people in order to reach herd immunity mtnews,No Match,neutral
169,my granddad who lives with me is 95 yo this year amp i have registered him as my dependent on mysj the app still doesnt indicate if hes eligible  despite having registered in late feb so heres a big puii to all politicians whom are deliberately delaying the vaccine rollout,delaying,negative
170,i absolutely do not have the bandwidth to do more than spit this out into the universe and hope that someone smarter than me does but if its really not that expensive to do then wouldnt it be great if we built a vaccine coop in an african country,"smarter,great,expensive",positive
171,yesterday facebook restricted amp censored my page for accurately factchecking jen psakis lie she said all three vaccines are fda approved that is a lie they are not they are emergency use authorized today cdc amp fda pauses the never approved jampj emergency use,"accurately,restricted,lie,emergency",negative
172,sen hirono on covid19 hate crimes act my hope is that we will have republicans who will support this bill my hope is that we will have republican members of the house and the senate speaking out condemning these kinds of targeted crimes,"support,hate",neutral
173,blood clots arent adverse now its just a matter of of odds are you more likely to throw the dice and win vaccine clots or an infections vent,"win,adverse,infections,vent",negative
174,live qampa questions on the johnson amp johnson vaccine pause answered by  and tweet us your questions with the hashtag asknewshour,No Match,neutral
175,this set back our efforts 2 get everyone vaccinated more than anyone can imagine all those on the fence about getting the vaccine now have a reason though not reasonable not 2 do it amp we gave antivaxxers more ammunition after a year of treating covid patients my heart hurts,"reasonable,hurts",neutral
176,the deeper issue is that blood clots are a major side effect of covid infection itself and the cdc still doesnt even recommend blood thinners as part of treatment i suspect in time it will be shown that all the vccines cause blood clots because covid causes blood clots,"recommend,issue,infection,suspect",negative
177,fda  blood clots post covid19 vaccines may be considered rare but rare isnt never or impossible science touted covid19 vaccines as 100 efficacy in preventing severe illness hospitalizations amp death yet severe breakthrough covid19 cases post full vaccination are occurring,"breakthrough,impossible,touted,severe,illness,death",negative
178,310 articles generated by   in the last hour in 24h f previews 3 193 tennis 294 1650 finance 3 6498 covid19 10 5194,No Match,neutral
179,this is exactly what the fda should be doing  seeking to make sure the vaccine is safe,safe,positive
180,farewell mrvalentinebgm  life was not easy in the northern kingdom with its everlasting snow to make matters worse the king was incompetent and lazy only interested in women and wine,"easy,everlasting,worse,incompetent,lazy",negative
181,breaking cdc  fda called for a temporary but immediate halt to use of jampjs covid vaccine while they investigate at least 6 cases of potentially dangerous blood clots in people who received the vaccinesubscribe thedefender,"breaking,dangerous",negative
182,congrats to harold white he was named abms custodian of the year he works hard each night leading the night time custodial staff he has been assigned many additional responsibilities this year due to covid and constructionwere lucky harold is part of the fmhs family,"works,leading,lucky,hard",positive
183,in march 2020 modi was busy organizing mass rallies 4 trump shah was pulling down mp govt amp vardhan was denying covid19 posed a threat in indiaa year later modi is letting kumbh mela happen shah is bussing pulling a govt in wb amp vardhan is denying shortage of vaccine,"trump,denying,threat,shortage",negative
184,request snowman  fridaylivestreamim rooting for snow man to make it into the top 5 again this weekplease play crazy fresh beatgrandeur,"top,fresh,crazy",positive
185,i am extremely skeptical of the ability of public messaging to disaggregate the jampj vaccine is under review as a precaution from the jampj vaccine is not safe and the others may not be either in the minds of normal people an incredibly crucial highstakes test for the press,"safe,incredibly,skeptical",positive
186,cerebral vein thrombosis cvst w jampj vaccine in 6  young women ages 1848 among 68 million dosed follows the pattern of astra zeneca 222 cases in 34 million of very rare clotting events implicating  adenovirus vector link,No Match,neutral
187,when feeling a little bit emotional say to yourself otherwise youll end up being a stone cold bitch,"cold,bitch",negative
188,its wild that everyone is freaking out about the az vaccine causing blood clots 1 in 250000 chance and no one bats an eye at birth control having a one in a thousand risk of blood clots,"wild,freaking,risk",negative
189,6 cases out of 7 million people what a disaster this is going to get people killed and its going to create more vaccine hesitancy these people dont understand costbenefit analysis they keep making mistakes by orders of magnitude,"disaster,killed,mistakes",negative
190,i am extremely skeptical of the ability of public messaging to disaggregate the jampj vaccine is under review as a precaution from the jampj vaccine is not safe and the others may not be either in the minds of normal people an incredibly crucial highstakes test for the press,"safe,incredibly,skeptical",positive
191,its not our  pm trudeau that caused covid hell here in canada its been our premiers and weve been screaming for media help to hold them accountable for months dont blame trudeau or canadians blame our trumpish right wing premiers and our fox north amp us owned news,"right,hell,blame",negative
192,covid makes it really hard when youre out and about and have to pee cuz washrooms everywhere are closed,hard,negative
193,newly released documents from congressional investigators reveal that trump appointees at hhs privately celebrated efforts to change cdc reports on the coronavirus and tried to blunt scientific findings they deemed unfavorable to trump wapo reports,"trump,celebrated,blunt,unfavorable",positive
194,now you know why fda and ema had no problems issuing emergency use authorization but havent yet approved a single covid vaccine,"problems,emergency",negative
195,6 cases of blood cots out of 6 million vaccinations and we  pause a lifesaving vaccinebut 38000 gun deaths a year and republicans want to make it easier to get a gun,easier,positive
196,sir david king telling it as it is on covid im extremely worried about the processes by which public money has been distributed to private sector companies without due process it really smells of corruption this is a socalled chumocracy covid19,"worried,smells,corruption",negative
197,if insanity is doing the same thing yet expecting different results what do we call daily exhortations to not travel amp stay in your bubble when people are clearly not listening the circuit breaker didnt break any covid circuitsnow what bcpoli,"clearly,insanity,break",negative
198,i love how everyone thought bill gates was trying to control us with microchips when instead he just made sure the vaccine wasnt available to poor countries for free,"love,available,free,poor",positive
